"","sigsq","sigsq.tier","source","trait"
"sigsq.period.CR9132",0.384057291146151,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9132",0.0887612020861147,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9133",0.102521492654636,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9133",0.00599406013171829,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9133",0.303007233991789,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9133",0.097013275175016,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9134",0.0718298377554209,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9134",0.0117985375554022,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9134",0.229493926824456,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9134",0.0691860643730325,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9135",0.121149466784449,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9135",0.00792167397960368,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9135",0.53167166147814,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9135",0.0869395327876633,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9136",0.122133665761381,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9136",0.00410618420757871,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9136",0.376493604033001,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9136",0.0835955612843882,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9137",0.081189969993451,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9137",0.0103962851564558,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9137",0.290186862247119,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9137",0.0926595248899038,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9138",0.104405463111532,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9138",0.00714355472392339,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9138",0.399681965542285,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9138",0.155623339581337,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9139",0.112430574224486,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9139",0.00555894566886521,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9139",0.301086553725555,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9139",0.135903812088588,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9140",0.10549876727599,"sigsq.wavelet.CR","Colony","Rhythmicity"
