Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
7_17_30,13.96573267,2.65874321,0.152083333,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_31,16.04241415,3.088142277,0,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_32,19.75052856,2.99070606,0.027083333,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_33,29.93620333,3.103973147,0.05625,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_34,26.06097867,2.706527795,0.015625,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_35,21.16809238,2.369075596,0.004166667,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_36,12.15787645,2.651389121,0.048958333,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_37,14.96810166,2.719611105,0.030208333,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_38,22.68739966,2.513655404,0.0125,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_39,59.87240666,3.070410992,0.01875,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_4,59.87240666,2.744039222,0.089583333,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_40,13.96573267,2.329139562,0,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_41,10.58404619,2.406609325,0.0125,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
